"question","option1","option2","option3","option4","correct_option","subtopic_id","correct_answer_logic"
"What are the first three multiples of 7?","1, 7, 14","7, 14, 21","7, 49, 343","1, 2, 3","b","class6-multiples","Multiples of a number are found by multiplying it by 1, 2, 3, and so on. The first multiple is 7×1=7, the second is 7×2=14, and the third is 7×3=21."
"A prime number has exactly how many distinct factors?","0","1","2","Infinite","c","class6-prime-composite","By definition, a prime number is a whole number greater than 1 that has exactly two distinct positive factors: 1 and the number itself. For example, the factors of 5 are only 1 and 5."
"Which of these numbers is a perfect number?","8","12","28","36","c","class6-perfect-numbers","A perfect number is a positive integer that is equal to the sum of its proper positive divisors (excluding itself). The divisors of 28 are 1, 2, 4, 7, 14. Their sum is 1+2+4+7+14 = 28. Therefore, 28 is a perfect number."
"What is the Highest Common Factor (HCF) of 12 and 18?","2","3","6","36","c","class6-hcf","The HCF is the largest number that divides both numbers without a remainder. The factors of 12 are 1,2,3,4,6,12. The factors of 18 are 1,2,3,6,9,18. The common factors are 1,2,3,6. The largest of these is 6."
"What is the Least Common Multiple (LCM) of 4 and 6?","2","12","24","48","b","class6-lcm","The LCM is the smallest positive integer that is a multiple of both numbers. Multiples of 4: 4, 8, 12, 16... Multiples of 6: 6, 12, 18, 24... The smallest common multiple is 12."
"If the HCF of two numbers is 3 and their product is 36, what is their LCM?","9","12","15","108","b","class6-hcf-lcm-methods","There is a fundamental relationship between HCF and LCM: HCF(a,b) × LCM(a,b) = a × b. Here, 3 × LCM = 36. Therefore, LCM = 36 ÷ 3 = 12."
"Calculate: (-8) + (+5)","-13","-3","+3","+13","b","class7-integer-addition-subtraction","When adding integers with different signs, subtract the smaller absolute value from the larger one, and keep the sign of the number with the larger absolute value. | -8 | = 8, | +5 | = 5. 8 - 5 = 3. The larger absolute value is from -8, so the answer is -3."
"Calculate: 4 - (-7)","-11","-3","+3","+11","d","class7-integer-addition-subtraction","Subtracting a negative number is equivalent to adding its positive opposite. So, 4 - (-7) = 4 + (+7) = +11."
"Calculate: (-6) × (+4)","+24","-24","+10","-10","b","class7-integer-multiplication-division","The product of a negative integer and a positive integer is always negative. Multiply the absolute values: 6 × 4 = 24. Attach the negative sign: -24."
"Calculate: (-15) ÷ (-3)","-5","+5","-18","+12","b","class7-integer-multiplication-division","The quotient of two negative integers is always positive. Divide the absolute values: 15 ÷ 3 = 5. Since both signs are negative, the result is positive: +5."
"In the expression 3/4, what does the '4' represent?","The numerator","The denominator","The sum","The difference","b","class7-fractions-basics","In a fraction a/b, 'a' is the numerator (the number of parts considered) and 'b' is the denominator (the total number of equal parts the whole is divided into). Here, 4 is the denominator."
"Convert the mixed number 2 ¾ to an improper fraction.","¾","7/4","11/4","8/3","c","class7-fractions-basics","To convert a mixed number to an improper fraction: (Whole number × Denominator) + Numerator, over the original denominator. For 2¾: (2 × 4) + 3 = 8 + 3 = 11. Keep denominator 4. So, 2¾ = 11/4."
"Add: 1/3 + 1/6","1/9","1/2","2/9","3/6","b","class7-fraction-operations","To add fractions, they must have a common denominator. The LCM of 3 and 6 is 6. Convert 1/3 to 2/6. Then, 2/6 + 1/6 = 3/6. Simplify 3/6 by dividing numerator and denominator by 3 to get 1/2."
"Multiply: (2/3) × (3/5)","6/15","5/8","2/5","1","c","class7-fraction-multiplication-division","Multiply numerators and denominators directly: (2×3)/(3×5) = 6/15. Simplify by dividing numerator and denominator by 3: 6÷3=2, 15÷3=5. Result is 2/5. Alternatively, you can cancel the common factor 3 before multiplying: (2/~~3~~) × (~~3~~/5) = 2/5."
"Divide: (3/4) ÷ (2/3)","1/2","8/9","9/8","6/12","c","class7-fraction-multiplication-division","To divide by a fraction, multiply by its reciprocal (flipped fraction). So, (3/4) ÷ (2/3) = (3/4) × (3/2) = (3×3)/(4×2) = 9/8."
"Add: 2.5 + 1.75","3.25","4.25","4.0","4.75","b","class7-decimal-operations","Align the decimal points and add: 2.50 + 1.75 = 4.25. Remember to write 2.5 as 2.50 to help with alignment if needed."
"Multiply: 0.4 × 0.3","0.7","0.12","1.2","0.012","b","class7-decimal-operations","Multiply as whole numbers: 4 × 3 = 12. Count total decimal places in the factors: 0.4 has 1, 0.3 has 1, total = 2. Place the decimal point in the product so it has 2 decimal places: 0.12."
"Which of these is a rational number?","π (pi)","√2","5","All of the above","c","class7-rational-numbers-intro","A rational number is any number that can be expressed as a fraction p/q where p and q are integers and q ≠ 0. 5 can be written as 5/1, so it is rational. π and √2 cannot be expressed as exact fractions of integers; they are irrational."
"The standard form of the rational number 12/(-18) is:","12/18","-12/18","2/3","-2/3","d","class7-rational-standard-form","To convert to standard form: 1) Make the denominator positive: 12/(-18) = -12/18. 2) Simplify by dividing numerator and denominator by their HCF (6): (-12÷6)/(18÷6) = -2/3. Standard form has a positive denominator and no common factors."
"Which point on the number line represents -3/4?","A point to the right of 0","A point to the left of 0","The point at 0","A point to the right of 1","b","class7-rational-number-line","Negative rational numbers are located to the left of zero on the number line. -3/4 is negative, so it lies between -1 and 0, to the left of the origin."
"What is a rational number between 1/2 and 3/4?","1/8","5/8","7/8","1","b","class7-rational-density","To find a number between two rationals, you can take their average: (1/2 + 3/4)/2. Convert to common denominator 4: (2/4 + 3/4) = 5/4. Then (5/4)/2 = 5/8. 5/8 is equivalent to 0.625, which lies between 0.5 and 0.75."
"Which property is illustrated by: (2/3) + (4/5) = (4/5) + (2/3)","Associative","Commutative","Distributive","Closure","b","class8-rational-properties","The Commutative Property of Addition states that changing the order of the addends does not change the sum. For any rational numbers a and b, a + b = b + a."
"What is the additive inverse of -5/7?","5/7","-5/7","7/5","0","a","class8-more-rational-properties","The additive inverse of a number 'a' is the number that, when added to 'a', gives zero. So, the additive inverse of -5/7 is +5/7 because (-5/7) + (5/7) = 0."
"A fraction with denominator having only prime factors 2 and 5 will convert to what type of decimal?","Non-terminating Repeating","Terminating","Non-terminating Non-repeating","Irrational","b","class8-decimal-types","This is a key rule: If the denominator of a fraction in its simplest form has only the prime factors 2 and/or 5, then its decimal expansion will be terminating. For example, 3/8 (8=2³) = 0.375."
"Convert the repeating decimal 0.777... to a fraction.","7/9","7/10","77/99","7/100","a","class8-decimal-fraction-conversion","Let x = 0.777... Then 10x = 7.777... Subtract the first equation from the second: 10x - x = 7.777... - 0.777... => 9x = 7 => x = 7/9."
"Which of these is a perfect square?","26","35","49","50","c","class8-perfect-squares","A perfect square is an integer that is the square of another integer. 49 = 7 × 7 = 7². 26, 35, and 50 are not squares of any integer."
"A perfect square number never ends with which digit?","1","4","6","8","d","class8-square-number-secrets","Observing the units digits of squares from 0² to 9²: 0,1,4,9,6,5,6,9,4,1. A perfect square can end in 0,1,4,5,6, or 9. It can never end in 2, 3, 7, or 8."
"What is √256?","14","16","18","24","b","class8-square-roots","Find the number that, when multiplied by itself, gives 256. 16 × 16 = 256. Therefore, √256 = 16. You can also check: 14²=196, 18²=324."
"Which of these sets of numbers is a Pythagorean triplet?","(2, 3, 4)","(6, 8, 10)","(5, 7, 9)","(8, 9, 10)","b","class8-pythagorean-triplets","A Pythagorean triplet satisfies a² + b² = c². Check (6,8,10): 6² + 8² = 36 + 64 = 100, and 10² = 100. The equation holds true. (2,3,4): 4+9=13 ≠16. (5,7,9): 25+49=74≠81. (8,9,10): 64+81=145≠100."
"Which of these is a perfect cube?","100","125","200","225","b","class8-perfect-cubes","A perfect cube is an integer that is the cube of another integer. 125 = 5 × 5 × 5 = 5³. 100, 200, and 225 are not cubes of integers."
"If a perfect cube ends with a 3, then its cube root must end with a ___.","3","7","9","1","b","class8-cube-number-clues","There is a pattern for cubes of digits 0-9. For digit 7: 7³ = 343, which ends in 3. Conversely, if a cube ends in 3, its cube root must end in 7. This is part of the digit pair pattern: 2↔8, 3↔7."
"∛729 is equal to:","7","9","27","81","b","class8-cube-roots","Find the number that, when multiplied by itself three times, gives 729. 9 × 9 = 81; 81 × 9 = 729. Therefore, 9³ = 729, so ∛729 = 9."
"The number 1729 is famous because it is the smallest number that can be expressed as the sum of two cubes in two different ways. What is one of these ways?","1³ + 9³","1³ + 12³","8³ + 9³","9³ + 10³","b","class8-hardy-ramanujan-magic","1729 is known as the Hardy-Ramanujan number. The two ways are: 1³ + 12³ = 1 + 1728 = 1729, and 9³ + 10³ = 729 + 1000 = 1729. Option b gives the first combination."
